plot,counter,date,individual,treatment,species,climate,height,capsule size,seedcapsule,seed_count,status,viable,sample,status_paperbag,organzabag_size,first seedcap,herbivory,comment,entered,labmeeting,,
1_1,Tiffany,07.11.2019,C1,control,Dia_car,ambient,14,0.4,2,25,dry,0,single,dust,,,0,,2316,,,
1_1,Garp,09.08.2019,C1,control,Dia_car,ambient,10,1,1,43,ripe_capsule,25,single,open,,,0,,4563,,,
1_1,Garp,17.10.2019,C1,control,Dia_car,ambient,20,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3440,,,
1_1,Garp,17.10.2019,C1,control,Dia_car,ambient,24,0.5,2,49,unripe,0,single,open,,,0,,3441,,,
1_1,Martin,17.10.2019,C1,control,Dia_car,ambient,13,1.1,1,49,ripe_capsule,12,single,open,,,0,,369,,,
1_1,Garp,18.09.2019,C1,control,Dia_car,ambient,10.5,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3225,,,
1_1,Martin,29.10.2019,C1,control,Dia_car,ambient,11.5,1.3,1,46,ripe_capsule,18,single,open,,,0,,378,,,
1_1,Michael,01.10.2019,C2,control,Dia_car,ambient,13,1.1,1,5,open,4,single,open,,,0,,1542,1,,
1_1,Valentin,01.10.2019,C2,control,Dia_car,ambient,22,,,30,open,0,single,open,,,0,,1524,1,,
1_1,Valentin,01.10.2019,C2,control,Dia_car,ambient,13,,3,0,Stigma,0,single,stigma,,,0,,1519,1,,
1_1,Garp,02.09.2019,C2,control,Dia_car,ambient,21,1.1,4,21,ripe_capsule,6,single,open,,,0,,4128,,,
1_1,Garp,02.09.2019,C2,control,Dia_car,ambient,10,1.3,5,32,ripe_capsule,21,single,open,,,0,,4118,,,
1_1,Garp,02.09.2019,C2,control,Dia_car,ambient,25,1.3,1,54,ripe_capsule,27,single,open,,,0,,4495,,,
1_1,Garp,04.09.2019,C2,control,Dia_car,ambient,15,1.1,1,51,ripe_capsule,29,single,open,,,0,,4070,,,
1_1,Garp,04.09.2019,C2,control,Dia_car,ambient,7.5,1.1,2,75,ripe_capsule,14,single,open,,,0,,4071,,,
10_2,Andreas,12.08.2019,C1,control,Dia_car,ambient,8,1.2,1,47,ripe_capsule,7,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,13,1.4,11,70,open,53,,open,,,0,open,,,,
2_5,Andreas,09.08.2019,C1,control,Dia_car,future,15.5,1.4,2,61,ripe_capsule,21,,open,,,0,,,,,
4_4,Andreas,09.08.2019,C1,control,Dia_car,future,11.5,1.1,9,55,ripe_capsule,32,,open,,,0,,,,,
4_4,Andreas,09.08.2019,C1,control,Dia_car,future,11,1.4,4,58,ripe_capsule,30,,open,,,0,,,,,
4_4,Andreas,09.08.2019,C1,control,Dia_car,future,10.5,1.4,5,64,ripe_capsule,15,,open,,,0,,,,,
4_4,Andreas,09.08.2019,C1,control,Dia_car,future,9,1.4,11,64,ripe_capsule,10,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,13,1.2,12,78,unripe,26,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,14,1.5,7,68,unripe,53,,open,,,0,3 unripe smaller,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,22,1.6,10,67,unripe,56,,open,,,0,,,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,16,1.2,2,68,ripe_capsule,20,single,open,,,0,,4222,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,9,1.2,14,74,ripe_capsule,28,single,open,,,0,,4225,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,18,1.3,4,69,ripe_capsule,41,single,open,,,0,,4224,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,18,1.4,5,56,ripe_capsule,41,single,open,,,0,,4226,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,25,1.5,3,50,ripe_capsule,42,single,open,,,0,,4221,,,
1_1,Garp,09.08.2019,C2,control,Dia_car,ambient,16,1.5,1,65,ripe_capsule,52,single,open,,,0,,4223,,,
5_5,Amibeth,09.06.2019,S2,supplement,Dia_car,ambient,,0.7,1,21,unripe,0,group,unripe,,,0,multiple flowers not developed,1628,,,
5_5,Amibeth,09.06.2019,S2,supplement,Dia_car,ambient,,0.6,2,61,unripe,0,group,unripe,,,0,,1629,,,
7_2,Amibeth,09.06.2019,C4,control,Dia_car,future,,0.6,1,42,unripe,0,group,unripe,,,0,additiol 1 stigma,1635,,,
7_2,Amibeth,09.06.2019,C4,control,Dia_car,future,,0.9,2,39,unripe,0,group,unripe,,,0,,1636,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,17,0.7,10,44,unripe,14,single,open,,,0,very tiny brown,2330,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,22.5,0.8,12,0,Stigma,0,single,Stigma,,,0,,2331,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,22,0.5,13,28,unripe,0,single,open,,,1,Herbivory,2332,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,22,,14,0,unripe,0,single,unripe,,,0,,2333,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,19.5,0.7,15,48,unripe,1,single,open,,,0,,2334,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,13.5,0.9,16,46,unripe,15,single,open,,,0,,2335,,,
1_1,Garp,10.09.2019,C2,control,Dia_car,ambient,21,1.2,1,22,herbivory,0,single,open,,,1,herbivory,3501,,,
