plot,counter,date,individual,treatment,species,climate,height,capsule height,diameter,seedcapsule,seed_count,viable,organzabag_size,first seedcap,comment,entered,Labmeeting
1_1,Jared,17.10.2019,C1,control,Sca_och,ambient,13,0.7,0.7,1,64,36,,,,730,1
1_1,Martin,17.10.2019,C1,control,Sca_och,ambient,6,0.5,0.7,2,47,0,,,,778,
1_1,Martin,10.09.2019,C2,control,Sca_och,ambient,20,1,0.9,1,47,47,,,,1430,
1_1,Garp,10.09.2019,C2,control,Sca_och,ambient,15.5,0.9,0.7,3,47,46,,,,1918,
1_1,Garp,10.09.2019,C2,control,Sca_och,ambient,20,0.7,0.7,2,39,25,,,,1917,
1_1,Julia,11.10.2019,C2,control,Sca_och,ambient,14,0.5,0.5,1,39,0,,,,1477,
1_1,Garp,18.09.2019,C2,control,Sca_och,ambient,14,0.7,0.7,1,40,39,,,,1863,
1_1,Martin,27.08.2019,C2,control,Sca_och,ambient,17,1,0.9,1,46,44,,,,240,
1_1,Martin,27.08.2019,C2,control,Sca_och,ambient,18,0.8,0.8,2,43,34,,,,241,
1_1,Martin,29.10.2019,C2,control,Sca_och,ambient,17.5,0.5,0.5,2,35,0,,,,29,
1_1,Martin,07.11.2019,C3,control,Sca_och,ambient,9,1.1,0.9,1,58,40,,,,537,
1_1,Julia,11.10.2019,C3,control,Sca_och,ambient,10,0.4,0.4,1,39,0,,,,1546,
1_1,Martin,01.10.2019,C4,control,Sca_och,ambient,16,0.8,0.9,2,37,36,,,,794,
1_1,Martin,01.10.2019,C4,control,Sca_och,ambient,14,0.8,0.8,3,30,26,,,,793,
1_1,Tiffany,01.10.2019,C4,control,Sca_och,ambient,20,0.7,0.7,4,30,28,,,,709,1
1_1,Martin,01.10.2019,C4,control,Sca_och,ambient,12.5,0.6,0.7,1,31,29,,,,529,
1_1,Andreas,02.09.2019,C4,control,Sca_och,ambient,12,1,0.8,1,40,40,,,,2024,
1_1,Andreas,02.09.2019,C4,control,Sca_och,ambient,10,0.9,0.8,2,34,34,,,,2023,
1_1,Andreas,04.09.2019,C4,control,Sca_och,ambient,16.5,1.1,0.8,1,42,42,,,,2027,
